stadium_id,stadium_name,year_built,street,city,province,country,postal_code,latitude,longitude,capacity,roof,turf,field_x,field_y,competition
eV5DzVRQKn,TCF Bank Stadium,2009.0,420 SE 23rd Avenue,Minneapolis,Minnesota,USA,55455,44.976,-93.225,50805.0,False,True,,,mls
eVq32yn5WO,Yankee Stadium,2009.0,1 East 161st Street,The Bronx,New York,USA,10451,40.8292,-73.9264,28743.0,False,False,110.0,70.0,mls
eVq3aBjMWO,Los Angeles Memorial Coliseum,,,,,,,,,,,,,,mls
eVq3alGMWO,Toyota Stadium,2005.0,9200 World Cup Way,Frisco,Texas,USA,75033,33.1544,-96.8353,20500.0,False,False,117.0,74.0,mls
gOMnY6mQwN,Bobby Dodd Stadium,1913.0,155 North Avenue Northwest,Atlanta,Georgia,USA,30313,33.7725,-84.3928,55000.0,False,False,,,mls
gpMOzPrQzy,Camping World Stadium,1936.0,1 Citrus Bowl Place,Orlando,Florida,USA,32805,28.5389,-81.4028,19500.0,False,True,114.0,74.0,mls
gpMOzdEQzy,Soldier Field,1924.0,1410 S Museum Campus Drive,Chicago,Illinois,USA,60605,41.8623,-87.6167,61500.0,False,False,114.0,74.0,mls
jYQJ1PBqGR,RFK Stadium,1961.0,2400 East Capitol Street SE,Washington,District of Columbia,USA,20003,38.89,-76.972,45596.0,False,False,110.0,72.0,mls
jYQJZDDQGR,Q2 Stadium,2021.0,10414 McKalla Place,Austin,Texas,USA,78758,30.3882,-97.7198,20500.0,False,False,115.0,75.0,mls
jYQJZPZQGR,Geodis Park,2022.0,501 Benton Avenue,Nashville,Tennessee,USA,37203,36.1302,-86.7656,30109.0,False,False,120.0,75.0,mls
ljqEDnO5x0,BC Place,1983.0,777 Pacific Boulevard,Vancouver,British Columbia,Canada,V6B 4Y8,49.2767,-123.1119,22120.0,True,True,117.0,75.0,mls
ljqEVDNQx0,Rogers Centre,1989.0,1 Blue Jays Way,Toronto,Ontario,Canada,M5V 0L7,43.6414,-79.3892,47568.0,True,True,,,mls
odMXGRrQYL,Allianz Field,2019.0,400 Snelling Ave N,St Paul,Minnesota,USA,55104,44.9528,-93.165,19400.0,False,False,120.0,75.0,mls
odMXgYWQYL,Miami Freedom Park,,,,,,,,,,,,,,mls
p6qbX06M0G,Providence Park,1926.0,1844 SW Morrison St,Portland,Oregon,USA,97205,45.5214,-122.6917,25218.0,False,True,110.0,75.0,mls
p6qbeb850G,Historic Crew Stadium,1999.0,1 Black and Gold Boulevard,Columbus,Ohio,USA,43211,40.0094,-82.9911,19968.0,False,False,115.0,75.0,mls
p6qbejp50G,FirstEnergy Stadium,,,,,,,,,,,,,,mls
vzqoGO7qap,Maryland SoccerPlex,2000.0,18031 Central Park Circle,Boyds,Maryland,USA,20841,39.1528,-77.3136,4000.0,False,False,115.0,75.0,mls
vzqoJrj5ap,Inter&Co Stadium,2017.0,655 West Church Street,Orlando,Florida,USA,32805,28.5411,-81.3893,25500.0,False,False,120.0,75.0,mls
vzqor1Z5ap,Arrowhead Stadium,,,,,,,,,,,,114.0,74.0,mls
wvq9p1Y5Wn,Dignity Health Sports Park,2003.0,18400 Avalon Boulevard,Carson,California,USA,90746,33.864,-118.261,27000.0,False,False,120.0,75.0,mls
wvq9p775Wn,Gillette Stadium,2002.0,1 Patriot Place,Foxborough,Massachusetts,USA,02035,42.091,-71.264,65878.0,False,True,116.0,75.0,mls
xW5pwORMg1,Audi Field,2018.0,100 Potomac Avenue SW,Washington,District of Columbia,USA,20024,38.8683,-77.0122,20000.0,False,False,115.0,75.0,mls
