channel_id,channel_name,channel_created,subscriber_count,view_count,video_count,snapshot_date
UCZCFeC8ge3Nup8KZuiDfLAA,The Women's Game,2024-01-11T17:27:16.816014Z,96000,10383563,1345,2026-08-19
UCL4xu08EDu0ZFZsBJUB0chw,National Women's Soccer League,2013-04-04T15:03:52Z,250000,161966912,6223,2026-08-19
UCjseWKLbnjmy4PuLBsi2YYA,RE,2020-03-27T14:40:30.124539Z,56100,11904819,630,2026-08-19
UCX_tjI6Q_4JD1E3234CwemA,CBS Sports W Golazo,2021-06-25T20:02:22.119979Z,80900,55003526,5229,2026-08-19
UCRTDNqoDl0WS3p_5gSsaipQ,No White Shorts ,2020-07-16T21:38:59.700129Z,81700,1246687,152,2026-08-19
UCv5306tE1yjLn1D31PL7kFA,Just Women's Sports,2019-05-05T20:50:18Z,300000,152755970,2248,2026-08-19
