dominant_topic,daily_peaks,monthly_peaks
"Championships, Draft & Expansion",0.2275449101796407,0.16666666666666666
Season Operations,0.6646706586826348,0.7916666666666666
Players & Rapinoe Coverage,0.10778443113772455,0.041666666666666664
