channel_id,channel_name,channel_created,subscriber_count,view_count,video_count,snapshot_date,channel_age_years,views_per_video
UCZCFeC8ge3Nup8KZuiDfLAA,The Women's Game,2024-01-11 17:27:16.816014+00:00,96000,10383563,1345,2026-08-19,2.6009582477754964,7720.121189591078
UCL4xu08EDu0ZFZsBJUB0chw,National Women's Soccer League,2013-04-04 15:03:52+00:00,250000,161966912,6223,2026-08-19,13.371663244353183,26027.143178531256
UCjseWKLbnjmy4PuLBsi2YYA,RE,2020-03-27 14:40:30.124539+00:00,56100,11904819,630,2026-08-19,6.392881587953457,18896.538095238095
UCX_tjI6Q_4JD1E3234CwemA,CBS Sports W Golazo,2021-06-25 20:02:22.119979+00:00,80900,55003526,5229,2026-08-19,5.147159479808351,10518.937846624594
UCRTDNqoDl0WS3p_5gSsaipQ,No White Shorts,2020-07-16 21:38:59.700129+00:00,81700,1246687,152,2026-08-19,6.0889801505817935,8201.888157894737
UCv5306tE1yjLn1D31PL7kFA,Just Women's Sports,2019-05-05 20:50:18+00:00,300000,152755970,2248,2026-08-19,7.2881587953456535,67951.94395017794
