pub_yearmonth,Team/League Updates,Coaching Updates & Contraversies,Schedules & Power Rankings,How to Watch
2012-11,0.0,0.3333333333333333,0.0,0.6666666666666666
2012-12,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855
2013-01,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857
2013-02,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.5454545454545454
2013-04,0.0,0.2727272727272727,0.45454545454545453,0.2727272727272727
2013-05,0.0,0.3333333333333333,0.25,0.4166666666666667
2013-06,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666
2013-07,0.07142857142857142,0.14285714285714285,0.6428571428571429,0.14285714285714285
2013-08,0.07017543859649122,0.21052631578947367,0.2982456140350877,0.42105263157894735
2013-09,0.0,0.41509433962264153,0.1320754716981132,0.4528301886792453
2013-10,0.0,0.25,0.08333333333333333,0.6666666666666666
2013-11,0.018867924528301886,0.18867924528301888,0.11320754716981132,0.6792452830188679
2013-12,0.0,0.45454545454545453,0.09090909090909091,0.45454545454545453
2014-01,0.375,0.25,0.08333333333333333,0.2916666666666667
2014-02,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855
2014-03,0.0,0.5,0.0,0.5
2014-04,0.06060606060606061,0.24242424242424243,0.45454545454545453,0.24242424242424243
2014-05,0.0,0.2857142857142857,0.14285714285714285,0.5714285714285714
2014-06,0.2,0.1,0.0,0.7
2014-07,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.4444444444444444
2014-08,0.03571428571428571,0.23214285714285715,0.17857142857142858,0.5535714285714286
2014-09,0.015625,0.34375,0.203125,0.4375
2014-10,0.046875,0.296875,0.15625,0.5
2014-11,0.0,0.20833333333333334,0.08333333333333333,0.7083333333333334
2014-12,0.0,0.3,0.4,0.3
2015-01,0.2,0.4,0.06666666666666667,0.3333333333333333
2015-02,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
2015-03,0.0,0.0,0.7,0.3
2015-04,0.0,0.1875,0.5625,0.25
2015-05,0.05263157894736842,0.3684210526315789,0.42105263157894735,0.15789473684210525
2015-06,0.05,0.325,0.225,0.4
2015-07,0.04310344827586207,0.39655172413793105,0.2413793103448276,0.31896551724137934
2015-08,0.08823529411764706,0.2647058823529412,0.23529411764705882,0.4117647058823529
2015-09,0.06329113924050633,0.3037974683544304,0.21518987341772153,0.4177215189873418
2015-10,0.07368421052631578,0.3368421052631579,0.09473684210526316,0.49473684210526314
2015-11,0.09090909090909091,0.2545454545454545,0.03636363636363636,0.6181818181818182
2015-12,0.0,0.25,0.16666666666666666,0.5833333333333334
2016-01,0.05555555555555555,0.2777777777777778,0.2222222222222222,0.4444444444444444
