pub_year,Team/League Updates,Coaching Updates & Contraversies,Schedules & Power Rankings,How to Watch
2012,0,6,4,10
2013,11,78,68,151
2014,20,92,64,167
2015,31,162,104,212
2016,48,179,100,277
2017,51,108,92,218
2018,23,70,67,134
2019,86,146,144,255
2020,99,159,225,256
2021,91,276,217,345
2022,75,202,158,328
2023,125,222,429,456
2024,134,296,385,662
