date,article_count,prominence,day_of_week
2016-10-09,6,5.0,Sunday
2024-06-08,6,5.0,Saturday
2018-01-28,6,5.0,Sunday
2019-02-20,6,5.0,Wednesday
2019-04-13,6,5.0,Saturday
2017-10-15,6,5.0,Sunday
2019-08-15,6,5.0,Thursday
2024-03-25,6,4.0,Monday
2017-04-15,6,5.0,Saturday
2017-04-13,6,5.0,Thursday
2019-12-19,6,5.0,Thursday
2023-12-07,6,5.0,Thursday
2023-02-08,6,5.0,Wednesday
2017-03-07,6,3.0,Tuesday
2020-05-02,6,5.0,Saturday
2023-12-31,6,5.0,Sunday
2023-06-10,6,3.0,Saturday
2016-08-19,6,4.0,Friday
2016-07-22,6,5.0,Friday
2020-08-16,6,5.0,Sunday
2024-08-12,6,3.0,Monday
2020-09-04,6,5.0,Friday
2023-04-22,6,5.0,Saturday
2020-07-08,6,4.0,Wednesday
2020-10-09,6,5.0,Friday
2023-12-20,6,5.0,Wednesday
2020-10-17,6,5.0,Saturday
2023-05-02,5,4.0,Tuesday
2023-11-02,5,3.0,Thursday
2023-07-27,5,3.0,Thursday
2023-04-14,5,4.0,Friday
2022-08-14,5,4.0,Sunday
2023-05-21,5,3.0,Sunday
2023-08-20,5,3.0,Sunday
2023-05-12,5,3.0,Friday
2023-03-12,5,4.0,Sunday
2023-03-03,5,4.0,Friday
2022-09-25,5,4.0,Sunday
2022-10-14,5,3.0,Friday
2024-03-05,5,4.0,Tuesday
2022-08-05,5,4.0,Friday
2016-06-17,5,4.0,Friday
2017-05-07,5,4.0,Sunday
2017-04-22,5,4.0,Saturday
2017-04-18,5,3.0,Tuesday
2017-02-21,5,4.0,Tuesday
2016-10-19,5,3.0,Wednesday
2016-09-21,5,4.0,Wednesday
2016-08-30,5,4.0,Tuesday
2016-08-22,5,4.0,Monday
2016-08-16,5,3.0,Tuesday
2016-07-10,5,4.0,Sunday
2016-04-15,5,4.0,Friday
2017-10-19,5,4.0,Thursday
2024-08-19,5,3.0,Monday
2015-11-09,5,3.0,Monday
2015-09-14,5,3.0,Monday
2024-09-15,5,4.0,Sunday
2024-09-20,5,3.0,Friday
2015-01-16,5,4.0,Friday
2014-10-23,5,4.0,Thursday
2014-08-20,5,4.0,Wednesday
2014-04-13,5,4.0,Sunday
2014-01-03,5,4.0,Friday
2017-09-28,5,4.0,Thursday
2018-02-21,5,4.0,Wednesday
2022-06-03,5,4.0,Friday
2020-09-10,5,4.0,Thursday
2022-02-16,5,4.0,Wednesday
2021-06-22,5,3.0,Tuesday
2021-05-20,5,3.0,Thursday
2021-05-14,5,3.0,Friday
2021-05-06,5,3.0,Thursday
2021-04-20,5,3.0,Tuesday
2013-08-06,5,4.0,Tuesday
2024-05-25,5,4.0,Saturday
2020-06-19,5,3.0,Friday
2022-02-08,5,4.0,Tuesday
2024-01-16,5,4.0,Tuesday
2022-05-08,5,4.0,Sunday
2024-02-27,5,4.0,Tuesday
2019-11-13,5,4.0,Wednesday
2019-11-01,5,4.0,Friday
2019-07-14,5,4.0,Sunday
2024-05-19,5,3.0,Sunday
2018-10-15,5,4.0,Monday
2021-11-09,5,4.0,Tuesday
2023-12-18,4,3.0,Monday
2023-12-05,4,3.0,Tuesday
2024-02-01,4,3.0,Thursday
2013-02-09,4,3.0,Saturday
2021-03-09,4,3.0,Tuesday
2022-11-12,4,3.0,Saturday
2015-06-08,4,3.0,Monday
2017-06-28,4,3.0,Wednesday
2016-10-27,4,3.0,Thursday
2016-09-29,4,3.0,Thursday
2016-09-26,4,3.0,Monday
2016-09-02,4,3.0,Friday
2016-07-15,4,3.0,Friday
2016-02-21,4,3.0,Sunday
2016-02-09,4,3.0,Tuesday
2015-10-08,4,3.0,Thursday
2015-09-24,4,3.0,Thursday
2015-09-09,4,3.0,Wednesday
2015-09-02,4,3.0,Wednesday
2015-07-03,4,3.0,Friday
2015-06-30,4,3.0,Tuesday
2014-11-10,4,3.0,Monday
2022-09-21,4,3.0,Wednesday
2014-11-06,4,3.0,Thursday
2014-11-04,4,3.0,Tuesday
2014-10-14,4,3.0,Tuesday
2014-10-04,4,3.0,Saturday
2014-09-20,4,3.0,Saturday
2014-09-17,4,3.0,Wednesday
2014-09-12,4,3.0,Friday
2014-09-09,4,3.0,Tuesday
2014-01-15,4,3.0,Wednesday
2013-11-03,4,3.0,Sunday
2013-10-30,4,3.0,Wednesday
2013-10-02,4,3.0,Wednesday
2013-09-24,4,3.0,Tuesday
2013-08-09,4,3.0,Friday
2017-07-07,4,3.0,Friday
2017-08-22,4,3.0,Tuesday
2017-09-21,4,3.0,Thursday
2017-11-07,4,3.0,Tuesday
2022-09-17,4,3.0,Saturday
2022-09-09,4,3.0,Friday
2022-01-27,4,3.0,Thursday
2021-09-16,4,3.0,Thursday
2021-03-30,4,3.0,Tuesday
2021-01-05,4,3.0,Tuesday
2020-11-18,4,3.0,Wednesday
2020-10-21,4,3.0,Wednesday
2020-10-03,4,3.0,Saturday
2020-08-31,4,3.0,Monday
2020-06-09,4,3.0,Tuesday
2020-05-25,4,3.0,Monday
2020-04-01,4,3.0,Wednesday
2020-03-11,4,3.0,Wednesday
2020-02-19,4,3.0,Wednesday
2020-01-22,4,3.0,Wednesday
2019-12-17,4,3.0,Tuesday
2019-11-18,4,3.0,Monday
2019-09-29,4,3.0,Sunday
2019-09-11,4,3.0,Wednesday
2019-08-25,4,3.0,Sunday
2019-08-03,4,3.0,Saturday
2019-06-20,4,3.0,Thursday
2019-04-02,4,3.0,Tuesday
2019-03-28,4,3.0,Thursday
2018-09-01,4,3.0,Saturday
2018-08-21,4,3.0,Tuesday
2018-03-01,4,3.0,Thursday
2017-12-01,4,3.0,Friday
2024-12-30,4,3.0,Monday
